method,recall@10,mrr,ndcg,total_samples,skipped,avg_num_chunks,elapsed_seconds,items_per_sec,tqdm_time_str,dataset
sliding_window,0.3568202348690154,0.15689960100483982,0.31872945428587834,1107,175,57.25039001560062,588.6406347279999,2.1778992552771843,"[09:48, 2.18it/s]",long
semantic_similarity,0.5618789521228545,0.27138156756884385,0.4209594727947741,1107,175,41.34009360374415,2212.7171828729997,0.5793781554746399,"[36:52, 0.58it/s]",long
html_aware,0.8701298701298701,0.3266856237438328,0.4831930029703726,1232,50,37.3588143525741,787.6488128640001,1.627628936985851,"[13:07, 1.63it/s]",long
dom_block_tree,0.5598006644518272,0.24474833384679595,0.39416321722726233,1204,78,294.40015600624025,868.9882203610005,1.4752789162866025,"[14:28, 1.48it/s]",long
qacs,0.542833607907743,0.27558020881705964,0.41548677891929164,1214,68,296.36895475819034,1635.014032698,0.784091129716191,"[27:15, 0.78it/s]",long
late_chunking,0.43450767841011745,0.17275090478147498,0.3367831645896887,1282,0,,905.0,1.42,"[15:05, 1.42it/s]",long
sliding_window_with_late_chunking_embedding,0.4192438572980301,0.16743215890672456,0.4183265847309576,1107,175,57.25039001560062,648.2156789,1.977852394,"[510:48, 1.98it/s]",long 
html_aware_with_late_chunking,0.6003245033112583,0.18015092307692308,0.3543127689054726,1232,50,37.3588143525741,1820.0,0.677,"[230:20, 0.68it/s]",long
