method,recall@10,mrr,ndcg,total_samples,skipped,avg_num_chunks,elapsed_seconds,items_per_sec,tqdm_time_str,dataset
sliding_window,0.5458715596330275,0.24457601455578154,0.40302875142259276,1090,154,25.086012861736336,287.4822247439997,4.327224060923316,"[04:47, 4.33it/s]",medium
semantic_similarity,0.8155251141552512,0.3972178057347202,0.5331233062372143,1095,149,17.126205787781352,921.4868920850004,1.349992073338413,"[15:21, 1.35it/s]",medium
html_aware,0.9516539440203562,0.3610752258933669,0.5140690419420861,1179,65,18.79903536977492,346.45771070999945,3.5906258153431128,"[05:46, 3.59it/s]",medium
dom_block_tree,0.6375952582557155,0.28406797220821156,0.4325758338632378,1181,63,110.74839228295819,432.11010553900087,2.8788958741158637,"[07:12, 2.88it/s]",medium
qacs,0.6706181202370872,0.35523666868508463,0.4891503932893925,1181,63,93.70257234726688,922.7338651619993,1.3481677079030774,"[15:22, 1.35it/s]",medium
late_chunking,0.8409506398537477,0.3032399074645411,0.4572754890631476,1244,0,,341.0,3.64,"[05:41, 3.64it/s]",medium
sliding_window_with_late_chunking_embedding,0.39473684210526316,0.14077024314426906,0.31456789234567891,1090,154,25.086012861736336,398.5,2.735,"[86:38, 2.74it/s]",medium 
html_aware_with_late_chunking,0.6573913043478261,0.19850172568380883,0.3765328476523891,1244,0,,2266.0,0.549,"[37:46, 0.55it/s]",medium
